Aarhus,AAR,Tirstrup
Ambon,AMQ,Pattimura
Ambriz,AZZ,Ambriz
Amderma,AMV,Amderma
Astana,TSE,Astana
Kokshetau,KOV,Kokshetau
Ames,AMW,Ames
Amityville,AYZ,Zahns
Amman,ADJ,Civil - Marka Airport
Amman,AMM,Queen Alia Intl
Amos,YEY,Amos
Amritsar,ATQ,Raja Sansi
Ekibastuz,EKB,Ekibastuz
Anaco,AAO,Anaco
Anacortes,OTS,Anacortes
Anadyr,DYR,Anadyr
Anaheim,ANA,Anaheim
Anapolis,APS,Anapolis
Anchorage,EDF,Elmendorf AFB
Anchorage,ANC,Ted Stevens Anchorage Int'l
Anchorage,MRI,Merrill Field
Atyrau,GUW,Atyrau
Ancona,AOI,Falconara
Ancud,ZUD,Ancud
Andamooka,ADO,Andamooka
Anderson,AID,Municipal
Anderson,AND,Anderson
Beirut,BEY,Beirut Rafic Hariri International Airport
Andover,ADV,Andover
Andrews,ADR,Andrews
Colombo,CMB,Bandaranayake
Anuradhapura,ACJ,Anuradhapura
Angers,ANE,Marce
Kandy,KDW,Vic. Resevour Kandy
Batticaloa,BTC,Batticaloa
Angoche,ANO,Angoche
Jaffna,JAF,Kankesanturai
Angola,ANQ,Tri-State Steuben Cty
Buchanan,UCN,Buchanan
Monrovia,ROB,Roberts Intl
Monrovia,MLW,Sprigg Payne
Greenville,GRE,Municipal
Greenville,GLH,Greenville
Greenville,PGV,Pitt-Greenville
Greenville,GDC,Donaldson Center
Greenville,GMU,Downtown
Greenville,GSP,Greenville-Spartanbur
Greenville,GCY,Municipal
Greenville,GVT,Majors Field
Maseru,MSU,Moshoeshoe Intl
Mokhotlong,MKH,Mokhotlong
Ankang,AKA,Ankang
Ankara,ESB,Esenboga
Ankara,ANK,Etimesgut
Ann Arbor,ARB,Municipal
Annaba,AAE,Les Salines
Annapolis,ANP,Lee
Annecy,NCY,Annecy-Meythe
Anniston,ANB,County Arpt
Anniston,QAW,Ft Mcclellan Bus Trml
Anniston,RLI,Reilly AHP
Kaunas,KUN,Kaunas
Anqing,AQG,Anqing
Anshan,AOG,Anshan
Antalaha,ANM,Antsirabato
Antalya,AYT,Antalya
Antananarivo,TNR,Antananarivo
Anthony,ANY,Anthony
Antofagasta,ANF,Cerro Moreno
Antsirabe,ATJ,Antsirabe
Luxembourg,LUX,Findel
Antsiranana,DIE,Antsiranana/Arrachart
Daugavpils,DGP,Daugavpils
Antsohihy,WAI,Antsohihy
Anyang,AYN,Anyang
Aomori,AOJ,Aomori
Aosta,AOT,Corrado Gex
Apolo,APB,Apolo
Apple Valley,APV,Apple Valley
Appleton,ATW,Outagamie County
Apucarana,APU,Apucarana
Aracaju,AJU,Aracaju
Aracatuba,ARU,Aracatuba
Arad,ARW,Arad
Araguaina,AUX,Araguaina
Arapiraca,APQ,Arapiraca
Arapongas,APX,Arapongas
Arar,RAE,Arar
Ararat,ARY,Ararat
Arauca,AUC,Arauca
Araxa,AAX,Araxa
Loja,LOH,Loja
Arcata,ACV,Arcata
Arctic Bay,YAB,Arctic Bay
Ardabil,ADU,Ardabil
Ardmore,AMZ,Ardmore
Ardmore,AHD,Downtown
Ardmore,ADM,Ardmore Municipal Arpt
Arequipa,AQP,Rodriguez Ballon
Argentia,NWP,NS
Arica,ARI,Chacalluta
Arica,ACM,Arica
Aripuana,AIR,Aripuana
Aripuana,NVP,Novo Aripuana
Ariquemes,AQM,Ariquemes
Ghat,GHT,Ghat
Arlit,RLT,Arlit
Armenia,AXM,El Eden
Armidale,ARM,Armidale
Kenitra,NNA,NAF
Fez,FEZ,Sais
Casablanca,CAS,Anfa
Casablanca,CMN,Mohamed V
Meknes,MEK,Meknes
Artesia,ATS,Artesia
Artigas,ATI,Artigas
Arua,RUA,Arua
Arusha,ARK,Arusha
Arviat,YEK,Arviat
Chisinau,KIV,Chisinau
Asahikawa,AKJ,Asahikawa
Ascension,ASC,Ascension
Asela,ALK,Asela
Ashgabat,ASB,Ashgabat
Ashland,ASX,Ashland
Asmara,ASM,Asmara International
Asosa,ASO,Asosa
Maroantsetra,WMN,Maroantsetra
Mandritsara,WMA,Mandritsara
Aspen,ASE,Aspen
Besalampy,BPY,Besalampy
Assab,ASA,Assab
Assis,AIF,Assis
Miandrivazo,ZVA,Miandrivazo
Mananjary,MNJ,Mananjary
Morombe,MXM,Morombe
Astoria,AST,Astoria
Manja,MJA,Manja
Fianarantsoa,WFI,Fianarantsoa
Astrakhan,ASF,Astrakhan
Maintirano,MXT,Maintirano
Farafangana,RVA,Farafangana
Ihosy,IHO,Ihosy
Asuncion,ASU,Silvio Pettirossi
Morondava,MOQ,Morondava
Aswan,ASW,Aswan
Bamako,BKO,Bamako
Mopti,MZI,Mopti
Gao,GAQ,Gao
Atar,ATR,Mouakchott
Atbara,ATB,Atbara
Kayes,KYS,Kayes
Athens,AHN,Athens
Athens,ATH,Eleftherios Venizelos
Athens,HEW,Hellinikon (Closed)
Athens,ATO,Ohio University
Athens,MMI,McMinn County
Nara,NRM,Nara
Koutiala,KTX,Koutiala
Ati,ATV,Ati
Atikokan,YIB,Atikokan
Goundam,GUD,Goundam
Atlanta,JAO,Beaver Ruin
Atlanta,PDK,De Kalb/Peachtree
Atlanta,FTY,Fulton County
Atlanta,JGL,Galleria
Atlanta,ATL,Hartsfield-Jackson Atlanta Int
Atlanta,JAJ,Perimeter Mall
Atlanta,JAE,Technology Park
Myeik,MGZ,Myeik
Namtu,NMT,Namtu
Myitkyina,MYT,Myitkyina
Atlantic,AIO,Municipal
Loikaw,LIW,Loikaw
Atlantic City,ACY,Atlantic City Intl
Atlantic City,AIY,Bader Field
Atlantic City,JSL,Steel Pier Hlpt
Mandalay,MDL,Mandalay International
Attawapiskat,YAT,Attawapiskat
Moron,OZP,Moron
Moron,MXV,Moron
Erdenet,ERT,Erdenet
Bulgan,UGA,Bulgan
Bayankhongor,BYN,Bayankhongor
Auburn,AUO,Auburn-Opelika
Auburn,AUN,Auburn
Macau,MFM,Macau
Macau,XZM,Macau Ferry
Boutilimit,OTL,Boutilimit
Augusta,AGS,Bush Field
Augusta,DNL,Daniel Field
Augusta,AUG,Augusta
Fderik,FGD,Fderik
Kiffa,KFA,Kiffa
Nema,EMN,Nema
Nouadhibou,NDB,Nouadhibou
Kaedi,KED,Kaedi
Aurangabad,IXU,Chikkalthana
Nouakchott,NKC,Nouakchott
Aurora,AUZ,Municipal Airport
Austin,AUM,Austin
Austin,ASQ,Austin
Austin,MMR,Camp Maybry AHP
Auxerre,AUF,Auxerre Branches
Gudja,MLA,Malta International
Avon Park,AVO,Municipal
Managua,MGA,Augusto C Sandino
Ayacucho,AYC,Ayacucho
Ayacucho,AYP,Yanamilla
Granada,GRX,Granada
Ayapel,AYA,Ayapel
Bluefields,BEF,Bluefields
Maastricht,MST,Maastricht/aachen
Ayr,AYR,Ayr
Groningen,GRQ,Eelde
Lelystad,LEY,Lelystad
Bacau,BCM,Bacau
Khasab,KHS,Khasab
Bacolod,BCD,Bacolod
Badajoz,BJZ,Talaveral La Real
Muscat,MCT,Seeb
Bade,BXD,Bade
Bafoussam,BFX,Bafoussam
Balboa,BLB,Balboa
La Chorrera,LCR,La Chorrera
Colon,ONX,Colon
Bage,BGX,Bage
Jaque,JQE,Jaque
La Palma,PLP,La Palma
Baghdad,BGW,Al Muthana
Baghdad,SDA,Baghdad International
David,DAV,Enrique Malek
Chitre,CTD,Chitre
El Porvenir,PVE,El Porvenir
Lima,AOH,Allen County
Lima,LIM,J Chavez Intl
Bahawalpur,BHV,Bahawalpur
Bahia Blanca,BHI,Comandante
Chiclayo,CIX,Cornel Ruiz
Juanjui,JJI,Juanjui
Moyobamba,MBP,Moyobamba
Manama,BAH,Bahrain International
Manama,WGF,Off Line Point
Baia Mare,BAY,Baia Mare
Jauja,JAU,Jauja
Cajamarca,CJA,Cajamarca
Ilo,ILQ,Ilo
Bainbridge,BGE,Decatur County
Bairnsdale,BSJ,Bairnsdale
Juliaca,JUL,Juliaca
Huanuco,HUU,Huanuco
Baker,BKE,Baker
Junin,JNI,Junin
Baker Lake,YBK,Baker Lake
Iquitos,IQT,C.F. Secada
Bakersfield,BFL,Meadows Field
Baku,ZXT,Heydar Aliyev
Chimbote,CHM,Chimbote
Balakovo,BWO,Balakovo
Chachapoyas,CHH,Chachapoyas
Baler,BQA,Baler
Laoag,LAO,Laoag
Cadiz,CDZ,Cadiz
Calbayog,CYP,Calbayog
Balikesir,BZI,Balikesir
Balikesir,MQJ,Merkez
Balikpapan,BPN,Sepingan
Manila,MXA,Municipal
Manila,MNL,Ninoy Aquino Intl
Ballina,BNK,Ballina Byron Gateway
Mati,MXI,Mati
Balsas,BSS,Balsas
Baltimore,GBO,Baltimore Greenbelt T
Baltimore,ZBP,Baltimore Rail
Baltimore,MTN,Glenn L Martin
Butuan,BXU,Butuan
Bam,BXR,Bam
Catarman,CRM,National
Cebu,CEB,Mactan International
Cotabato,CBO,Awang
Daet,DTE,Camarines Norte
Davao,DVO,Francisco Bangoy International Airport
Dipolog,DPL,Dipolog
Bamenda,BPC,Bamenda
General Santos,GES,Buayan
Iligan,IGN,Maria Cristina
Iloilo,ILO,Mandurriao
Ipil,IPE,Ipil
Jolo,JOL,Jolo
Jordan,JDN,Jordan
Kalibo,KLO,Kalibo
Legazpi,LGP,Legazpi
Banda Aceh,BTJ,Blang Bintang
Mamburao,MBO,Mamburao
Masbate,MBT,Masbate
Bandar Lampung,TKG,Branti
Naga,WNP,Naga
Bandung,BDO,Husein Sastranegara
Banff,YBA,Banff
Banfora,BNR,Banfora
Bangalore,BLR,Hal
Bangkok,BKK,International
Bangor,BGR,International
Basco,BSO,Basco
Sydney,BWU,Sydney Bankstown
Karachi,KHI,Quaid-E-Azam Intl
Gilgit,GIL,Gilgit
Banning,BNG,Banning
Bannu,BNP,Bannu
Islamabad,ISB,Islamabad Intl
Hyderabad,HYD,Begumpet Airport
Hyderabad,HDD,Hyderabad
Baoshan,BSD,Baoshan
Lahore,LHE,Alama Iqbal International
Nawabshah,WNS,Nawabshah
Baotou,BAV,Baotou
Baqubah,XQV,Baqubah
Dera Ismail Khan,DSK,Dera Ismail Khan
Gwadar,GWD,Gwadar
Kohat,OHT,Kohat
Dera Ghazi Khan,DEA,Dera Ghazi Khan
Gujrat,GRT,Gujrat
Mansehra,HRA,Mansehra
Multan,MUX,Multan
Barcaldine,BCI,Barcaldine
Faisalabad,LYP,Faisalabad
Lodz,LCJ,Lodz Lublinek
Barcelona,BCN,El Prat De Llobregat
Barcelona,BLA,Gen J A Anzoategui
Bydgoszcz,BZG,Bydgoszcz I. J. Paderewski Airport
Gdansk,GDN,Rebiechowo
Bardstown,BRY,Samuels Field
Krakow,KRK,J. Paul Ii Balice Intl
Bari,BRI,Palese
Barinas,BNS,Barinas
Barisal,BZL,Barisal
Koszalin,OSZ,Koszalin
Barnaul,BAX,Barnaul
Lisbon,LIS,Lisboa - Portela
Lisbon,ZYD,Lisbon TP
Barquisimeto,BRM,Barquisimeto
Horta,HOR,Horta
Faro,FAO,Faro
Faro,ZYF,Faro TP
Faro,ZFA,Faro
Braganca,BGC,Braganca
Braga,BGZ,Braga
Coimbra,CBP,Coimbra
Barrancabermeja,EJA,Variguies
Covilha,COV,Covilha
Barranquilla,BAQ,E Cortissoz
Barreiras,BRA,Barreiras
Barretos,BAT,Barretos
Fuerte Olimpo,OLK,Fuerte Olimpo
Concepcion,CEP,Concepcion
Concepcion,CCP,Carriel Sur
Concepcion,CIO,MCAL Lopez
Encarnacion,ENO,Teniente Prim Alarcon
Ciudad del Este,AGT,Alejo Garcia
Bartica,GFO,Bartica
Bartlesville,BVO,Bartlesville
Filadelfia,FLM,Filadelfia
Bartow,BOW,Bartow
Basra,BSR,International
Bastia,BIA,Poretta
Doha,DOH,Doha
Doha,XOZ,Doha Free Zone
Batesville,BVX,Municipal
Batesville,HLB,Hillenbrand
Bathurst,ZBF,Bathurst
Bathurst,BHS,Raglan
Constanta,CND,Kogalniceanu
Batman,BAL,Batman
Batna,BLJ,Batna
Baton Rouge,EBR,Downtown
Baton Rouge,BTR,Ryan
Bucharest,BBU,Baneasa
Bucharest,OTP,Henri Coanda International
Batouri,OUR,Batouri
Battambang,BBM,Battambang
Battle Creek,BTL,WK Kellogg Regional
Chelyabinsk,CEK,Chelyabinsk
Chelyabinsk,MQF,Magnitogorsk
Batumi,BUS,Batumi
Krasnodar,KRR,Rostov
Baubau,BUW,Baubau
Bauchi,BCU,Bauchi
Baures,BVL,Baures
Bauru,BAU,Bauru
Kigali,KGL,Gregoire Kayibanda
Bay City,BBC,Bay City
Bayamo,BYM,C.M. de Cespedes
Butare,BTQ,Butare
Gisenyi,GYI,Gisenyi
Baytown,HPY,Baytown
Beatrice,BIE,Beatrice
Beaufort,BFT,County
Medina,MND,Medina
Beaumont,BMT,Beaumont Muni
Beaumont,BPT,Jefferson County
Hail,HAS,Hail
Beaver Falls,BFP,Beaver Falls
Bechar,CBH,Leger
Beckley,BKW,Beckley
Bedford,BFR,Virgil I Grissom Muni
Jeddah,JED,King Abdulaziz International
Bedourie,BEU,Bedourie
Beeville,NIR,Chase Field NAS
Beihai,BHY,Beihai
Khartoum,KRT,Civil
Beijing,PEK,Capital
Beijing,NAY,Nanyuan Airport
Beira,BEW,Beira
Merowe,MWE,Merowe
Kosti,KST,Kosti
Bejaia,BJA,Bejaia
Geneina,EGN,Geneina
Gedaref,GSU,Gedaref
Belem,BEL,Val De Cans
El Fasher,ELF,El Fasher
Belfast,BHD,Belfast City Airport
Belfast,BFS,Belfast Aldergrove International
El Obeid,EBD,El Obeid
Dongola,DOG,Dongola
Belgaum,IXG,Sambre
Belgorod,EGO,Belgorod
Kassala,KSL,Kassala
Belgrade,BJY,Batajnica
Belgrade,BEG,Belgrade - Nikola Tesla International Airport
Karlstad,KSD,Karlstad
Belize City,TZA,Municipal
Belize City,BZE,Philip S.W.Goldson Int
Halmstad,HAD,Halmstad
Linkoping,LPI,Linkoping
Jonkoping,JKG,Axamo
Kalmar,KLR,Kalmar
Bella Bella,ZEL,Bella Bella
Gavle,GVX,Sandviken
Malmo,JMM,Malmo Harbour Heliport
Malmo,XFR,Malmo South Railway
Malmo,MMX,Sturup
Lulea,LLA,Kallax
Bella Union,BUV,Bella Union
Bellaire,ACB,Antrim County
Bellary,BEP,Bellary
Kiruna,KRN,Kiruna
Bellefonte,PSB,Bellefonte
Norrkoping,NRK,Kungsangen
Belleville,BLV,Belleville
Bellingham,BLI,Bellingham
Kristianstad,KID,Kristianstad
Ljubljana,LJU,Brnik
Belmar,BLM,Monmouth County
Belmopan,BCV,Belmopan
Belo Horizonte,PLU,Pampulha
Bemidji,BJI,Bemidji
Bendigo,BXG,Bendigo
Bengbu,BFU,Bengbu
Bengkulu,BKS,Padangkemiling
Benguela,BUG,Gen V Deslandes
Benin City,BNI,Benin City
Bennettsville,BTN,Bennettsville
Bento Goncalves,BGV,Bento Goncalves
Benton Harbor,BEH,Ross Field
Berdyansk,ERD,Berdyansk
Berens River,YBV,Berens River
Berkeley,JBK,Berkeley
Berlin,QWC,Berlin Zoo
Berlin,GWW,RAF Gatow
Berlin,SXF,Schoenefeld
Berlin,TXL,Tegel
Berlin,THF,Tempelhof
Berlin,BML,Berlin
Bermejo,BJO,Bermejo
Berne,BRN,Belp
Beverly,BVY,Beverly
Beziers,BZR,Beziers Vias
Bharatpur,BHR,Bharatpur
Bhavnagar,BHU,Bhavnagar
Bhopal,BHO,Bhopal
Bhuj,BHJ,Rudra Mata
Maribor,MBX,Maribor
Biak,BIK,Mokmer
Biarritz,BIQ,Biarritz Parme
Bielefeld,BFE,Bielefeld
Big Lake,BGQ,Big Lake
Bratislava,BTS,Ivanka
Big Rapids,WBR,Big Rapids
Kosice,KSC,Barca
Big Spring,HCA,Howard County
Big Spring,BGS,Webb AFB
Bo,KBS,Bo
Bikaner,BKB,Bikaner
Freetown,HGS,Hastings
Freetown,FNA,Lungi International
Freetown,JMY,Mammy Yoko Heliport
Kenema,KEN,Kenema
Bilaspur,PAB,Bilaspur
Bilbao,BIO,Bilbao
Matam,MAX,Matam
Dakar,DKR,Yoff
Billings,BIL,Billings
Kaolack,KLC,Kaolack
Kolda,KDA,Kolda
Biloela,ZBL,Biloela
Biloxi,BIX,Keesler AFB
Kedougou,KGG,Kedougou
Mogadishu,MGQ,International
Bintulu,BTU,Bintulu
Bintulu,ZMK,Bintulu Port
Birdsville,BVI,Birdsville
Birjand,XBJ,Birjand
Birmingham,BHM,Birmingham
Birmingham,ZBC,Colmore Row Bus Stn
Birmingham,BHX,Birmingham International
Deva,DVA,Deva
Cluj-Napoca,CLJ,Someseni International Airport
Bisbee,BSQ,Bisbee Municipal Arpt
Craiova,CRA,Craiova
Bishkek,FRU,Bishkek
Iasi,IAS,Iasi
Bishop,BIH,Bishop
Biskra,BSK,Biskra
Nis,INI,Nis
Bismarck,BIS,Bismarck
Bissau,OXB,Osvaldo Vieira
Bitam,BMM,Bitam
Blackpool,BLK,Blackpool
Blacksburg,BCB,Virginia Tech
Blackwell,BWL,Blackwell
Blaine,BWS,Blaine
Blairsville,BSI,Blairsville
Bloomfield,BFC,Bloomfield
Bloomington,BMG,Bloomington
Blumenau,BNU,Blumenau
Blythe,BLH,Blythe
Blytheville,BYH,Blytheville AFB
Blytheville,HKA,Municipal
Boa Vista,BVC,Rabil
Boa Vista,BVB,Boa Vista
Bobo Dioulasso,BOY,Borgo
Boca Raton,BCT,Public
Bogalusa,BXA,George R Carr
Bogande,XBG,Bogande
Bogota,BOG,Eldorado
Boise,BOI,Air Term. (Gowen Fld)
Boke,BKJ,Boke
Bol,BWK,Bol
Bol,OTC,Bol
Novy Urengoy,NUX,Novy Urengoy
Bologna,BLQ,Guglielmo Marconi
Bolzano,BZO,Bolzano
Bongor,OGR,Bongor
Kemerovo,KEJ,Kemerovo
Bontang,BXT,Bontang
Nefteyugansk,NFG,Nefteyugansk
Boone,BNW,Boone
Irkutsk,IKT,Irkutsk
Bordeaux,BOD,Bordeaux Airport
Bordeaux,ZFQ,Gare de Bordeaux
Kaluga,KLF,Kaluga
Izhevsk,IJK,Izhevsk
Cherepovets,CEE,Cherepovets
Nadym,NYM,Nadym
Borger,BGD,Borger
Elista,ESL,Elista
Cheboksary,CSY,Cheboksary
Novokuznetsk,NOZ,Novokuznetsk
Moscow,BKA,Bykovo
Moscow,DME,Domodedovo
Moscow,ZKD,Leningradskiy Rail Stn
Moscow,XRK,Paveletskiy Rail Stn.
Moscow,SVO,Sheremetyevo
Moscow,VKO,Vnukovo
Boston,ZTY,Boston BKBAY Rail
Boston,JBC,Boston City Heliport
Boston,ZRU,Boston RT128 Rail
Boston,ZTO,Boston South Rail
Boston,BOS,Logan International
Boulder,WBI,Broker Inn
Boulder,WHH,Hiltons Har H
Boulder,WBU,Municipal
Boulder City,BLD,Boulder City
Boulia,BQL,Boulia
Boulsa,XBO,Boulsa
Bugulma,UUA,Bugulma
Chita,HTA,Chita
Bountiful,BTF,Salt Lake Skypark
Bourges,BOU,Bourges
Bourke,BRK,Bourke
Bournemouth,BOH,Bournemouth International
Bowen,ZBO,Bowen
Bowling Green,BWG,Warren County
Bowling Green,APH,Camp A P Hill
Bozeman,BZN,Gallatin Field
Bradford,BRF,Bradford
Bradford,ZFC,Bus Station
Bradford,BDF,Rinkenberger
Bradford,BFD,Bradford
Brady,BBD,Curtis Field
Murmansk,MMK,Murmansk
Brainerd,BRD,Crow Wing County
Brandon,LKZ,Lakenheath RAF
Brandon,YBR,Brandon
Kirov,KVX,Kirov
Brasilia,BSB,Presidente Juscelino Kubitschek International Airport
Bratsk,BTK,Bratsk
Braunschweig,BWE,Braunschweig
Brawley,BWC,Brawley
Breckenridge,QKB,Van Service
Breckenridge,BKD,Stephens County
Bregenz,XGZ,Railway Station
Makhachkala,MCX,Makhachkala
Bremen,BRE,Bremen
Bremerhaven,BRV,Bremerhaven
Bremerton,PWT,Bremerton
Brest,BQT,Brest
Brest,BES,Guipavas
Breves,BVS,Breves
Bridgeport,BDR,Igor I. Sikorsky Mem.
Bridgetown,BGI,Grantley Adams Intl
Brigham City,BMC,Brigham City
Brighton,BSH,Brighton
Kaliningrad,KGD,Kaliningrad
Brindisi,BDS,Papola Casale
Brisbane,BNE,Brisbane International
Bristol,BRS,Bristol
Kirovsk,KVK,Kirovsk
Brno,BRQ,Turany
Broadview,YDR,Broadview
Brochet,YBT,Brochet
Lipetsk,LPK,Lipetsk
Brockville,XBR,Brockville
Kazan,KZN,Kazan
Broken Hill,BHQ,Broken Hill
Kostroma,KMW,Kostroma
Brookings,BOK,Brookings State
Brookings,BKX,Brookings
Novosibirsk,OVB,Tolmachevo
Kursk,URS,Kursk
Broome,BME,Broome
Broomfield,BJC,Jeffco
Brownsville,BRO,South Padre Is. Intl
Brownwood,BWD,Brownwood
Brumado,BMS,Brumado
Kotlas,KSZ,Kotlas
Brunswick,BQK,Glynco Jetport
Brunswick,SSI,Mckinnon
Brunswick,NHZ,NAS
Brus Laguna,BHG,Brus Laguna
Brussels,CRL,Charleroi Brussels South
Brussels,ZYR,Midi Railway Station
Brussels,BRU,National
Bryan,CFD,Coulter Field
Bucaramanga,BGA,Palo Negro
Kurgan,KRO,Kurgan
Buchans,YZM,Buchans
Buckeye,BXK,Buckeye
Budapest,XXJ,Deli Railway
Budapest,BUD,Ferihegy
Budapest,XXQ,Keleti Railway
