945,30,Iklin,35.9092,14.4522
946,30,Gharghur,35.9242,14.4519
947,30,Dingli,35.8614,14.3822
948,30,Siggiewi,35.8556,14.4364
949,30,Xewkija,36.0328,14.2581
950,30,Lija,35.9006,14.4464
951,30,Safi,35.8331,14.4847
952,30,Senglea,35.8875,14.5169
953,30,Xaghra,36.05,14.2644
954,30,Xghajra,35.8856,14.5475
955,30,Zebbug,36.0722,14.2358
956,30,Gzira,35.9058,14.4881
957,30,Imsida,35.8925,14.4828
958,30,Kalkara,35.8892,14.5328
959,30,Kercem,36.0419,14.2267
960,30,Mellieha,35.9564,14.3622
961,30,Mosta,35.9092,14.4256
962,30,Nadur,36.0378,14.2942
963,30,Paola,35.8731,14.4989
964,30,Rabat,35.8822,14.3981
965,30,Marsa,35.8792,14.4953
966,30,San Giljan,35.9197,14.4844
967,30,San Gwann,35.9056,14.4761
968,30,Santa Lucija,36.0431,14.2172
969,30,Santa Venera,35.8908,14.4742
970,30,Swieqi,35.9225,14.48
971,30,Tarxien,35.8658,14.515
972,30,Balzan,35.9003,14.455
973,30,Vittoriosa,35.8922,14.5183
974,30,Birkirkara,35.8972,14.4611
975,30,Cospicua,35.8856,14.5275
976,30,Fgura,35.8703,14.5133
977,30,Floriana,35.8958,14.5083
978,30,Fontana,36.0375,14.2361
979,30,Ghajnsielem,36.0264,14.285
980,30,Gharb,36.06,14.2089
981,134,Port Louis,-20.1666,57.5
982,134,Curepipe,-20.3162,57.5166
983,81,Male,4.1667,73.4999
984,81,Dhidhdhoo,6.8874,73.114
985,81,Eydhafushi,5.1038,73.0699
986,81,Felidhoo,3.4718,73.547
987,81,Funadhoo,6.1509,73.2901
988,81,Hithadhoo,-0.6,73.0833
989,81,Kudahuvadhoo,2.6717,72.8936
990,81,Magoodhoo,3.0789,72.9647
991,81,Kulhudhuffushi,6.6223,73.0702
992,81,Mahibadhoo,3.7571,72.9689
993,81,Manadhoo,5.7669,73.4136
994,81,Muli,2.9217,73.5811
995,81,Naifaru,5.4442,73.3662
996,81,Thinadhoo,0.5303,72.9967
997,81,Un'goofaaru,5.6681,73.0302
998,81,Veymandoo,2.1878,73.095
999,81,Villin'gili,0.7539,73.4353
1000,81,Fonadhoo,1.8342,73.5031
1001,81,Fuvahmulaku,-0.3,73.4256
1002,81,Rasdhoo,4.2631,72.9919
1003,81,Thulusdhoo,4.3742,73.6517
1004,131,Thyolo,-16.0703,35.1471
1005,131,Mwanza,-15.6167,34.5167
1006,131,Chiradzulu,-15.7,35.1833
1007,131,Karonga,-9.9329,33.9333
1008,131,Neno,-15.3981,34.6534
1009,131,Zomba,-15.39,35.31
1010,131,Chikwawa,-16.042,34.8019
1011,131,Mulanje,-16.0333,35.5
1012,131,Blantyre,-15.79,34.9899
1013,131,Chiromo,-16.55,35.1332
1014,131,Phalombe,-15.8064,35.6507
1015,131,Nsanje,-16.9167,35.2667
1016,131,Nkhata Bay,-11.5996,34.3
1017,131,Rumphi,-11.0195,33.8546
1018,131,Chitipa,-9.7162,33.2666
1019,131,Mzuzu,-11.46,34.02
1020,131,Mzimba,-11.9,33.6
1021,131,Ntchisi,-13.3753,34.0036
1022,131,Dowa,-13.6532,33.9385
1023,131,Mchinji,-13.8,32.9
1024,131,Nkhotakota,-12.9163,34.3
1025,131,Kasungu,-13.0364,33.4822
1026,131,Ntcheu,-14.8167,34.6333
1027,131,Dedza,-14.3667,34.3333
